n_hor,n_ver,n_tot,eta,S
10,326,336,0.65625,-0.94047619
1,335,336,0.65625,-0.99404762
13,314,327,0.63867188,-0.9204893
2,334,336,0.65625,-0.98809524
9,334,343,0.66992188,-0.94752187
3,336,339,0.66210938,-0.98230088
14,317,331,0.64648438,-0.91540785
3,325,328,0.640625,-0.98170732
8,322,330,0.64453125,-0.95151515
14,325,339,0.66210938,-0.91740413
17,317,334,0.65234375,-0.89820359
25,298,323,0.63085938,-0.84520124
68,257,325,0.63476562,-0.58153846
70,256,326,0.63671875,-0.57055215
29,314,343,0.66992188,-0.83090379
8,341,349,0.68164062,-0.95415473
1,335,336,0.65625,-0.99404762
20,320,340,0.6640625,-0.88235294
22,297,319,0.62304688,-0.86206897
7,331,338,0.66015625,-0.95857988
19,312,331,0.64648438,-0.88519637
22,308,330,0.64453125,-0.86666667
34,294,328,0.640625,-0.79268293
25,306,331,0.64648438,-0.8489426
21,316,337,0.65820312,-0.87537092
20,309,329,0.64257812,-0.87841945
15,326,341,0.66601562,-0.91202346
16,313,329,0.64257812,-0.90273556
14,326,340,0.6640625,-0.91764706
5,339,344,0.671875,-0.97093023
2,341,343,0.66992188,-0.98833819
14,315,329,0.64257812,-0.91489362
25,294,319,0.62304688,-0.84326019
21,315,336,0.65625,-0.875
30,280,310,0.60546875,-0.80645161
13,329,342,0.66796875,-0.92397661
7,318,325,0.63476562,-0.95692308
5,324,329,0.64257812,-0.96960486
10,330,340,0.6640625,-0.94117647
3,337,340,0.6640625,-0.98235294
22,312,334,0.65234375,-0.86826347
29,304,333,0.65039062,-0.82582583
43,279,322,0.62890625,-0.73291925
69,258,327,0.63867188,-0.57798165
64,273,337,0.65820312,-0.62017804
13,310,323,0.63085938,-0.91950464
11,315,326,0.63671875,-0.93251534
15,319,334,0.65234375,-0.91017964
8,328,336,0.65625,-0.95238095
2,327,329,0.64257812,-0.98784195
9,331,340,0.6640625,-0.94705882
13,328,341,0.66601562,-0.92375367
25,304,329,0.64257812,-0.84802432
40,296,336,0.65625,-0.76190476
31,301,332,0.6484375,-0.81325301
31,303,334,0.65234375,-0.81437126
25,288,313,0.61132812,-0.84025559
77,258,335,0.65429688,-0.54029851
77,240,317,0.61914062,-0.51419558
62,269,331,0.64648438,-0.62537764
34,297,331,0.64648438,-0.79456193
58,279,337,0.65820312,-0.65578635
49,265,314,0.61328125,-0.68789809
26,295,321,0.62695312,-0.83800623
12,317,329,0.64257812,-0.92705167
15,315,330,0.64453125,-0.90909091
16,311,327,0.63867188,-0.90214067
4,327,331,0.64648438,-0.97583082
15,322,337,0.65820312,-0.91097923
24,293,317,0.61914062,-0.84858044
11,319,330,0.64453125,-0.93333333
32,300,332,0.6484375,-0.80722892
13,313,326,0.63671875,-0.9202454
14,333,347,0.67773438,-0.91930836
0,334,334,0.65234375,-1
25,311,336,0.65625,-0.85119048
41,282,323,0.63085938,-0.74613003
27,311,338,0.66015625,-0.84023669
7,323,330,0.64453125,-0.95757576
11,327,338,0.66015625,-0.93491124
26,306,332,0.6484375,-0.84337349
12,339,351,0.68554688,-0.93162393
7,329,336,0.65625,-0.95833333
16,320,336,0.65625,-0.9047619
33,292,325,0.63476562,-0.79692308
23,312,335,0.65429688,-0.86268657
11,316,327,0.63867188,-0.93272171
8,329,337,0.65820312,-0.95252226
13,312,325,0.63476562,-0.92
1,344,345,0.67382812,-0.9942029
3,335,338,0.66015625,-0.98224852
12,325,337,0.65820312,-0.92878338
19,305,324,0.6328125,-0.88271605
9,320,329,0.64257812,-0.94528875
10,339,349,0.68164062,-0.94269341
5,323,328,0.640625,-0.9695122
3,330,333,0.65039062,-0.98198198
13,315,328,0.640625,-0.92073171
3,328,331,0.64648438,-0.98187311
0,334,334,0.65234375,-1
8,322,330,0.64453125,-0.95151515
9,332,341,0.66601562,-0.94721408
32,308,340,0.6640625,-0.81176471
89,243,332,0.6484375,-0.46385542
102,224,326,0.63671875,-0.37423313
161,166,327,0.63867188,-0.01529052
197,123,320,0.625,0.23125
214,117,331,0.64648438,0.29305136
175,143,318,0.62109375,0.10062893
207,122,329,0.64257812,0.25835866
186,146,332,0.6484375,0.12048193
210,118,328,0.640625,0.2804878
170,135,305,0.59570312,0.1147541
