beta,h,mean_energy,mean_magnetization_abs,mean_magnetization,specific_heat
0.35,0.15,0.8771,-0.015426,0.0154358,2.98629e-05
0.35,0.2,0.874613,-0.0201611,0.0201611,2.31941e-05
0.35,0.25,0.869525,-0.0260889,0.0260889,2.8565e-05
0.35,0.3,0.865561,-0.0307642,0.0307642,3.16421e-05
0.35,0.35,0.864479,-0.035293,0.035293,2.81904e-05
0.35,0.4,0.849496,-0.0414575,0.0414575,2.88051e-05
0.35,0.45,0.843986,-0.0468604,0.0468604,2.57352e-05
0.35,0.5,0.835804,-0.0512781,0.0512781,2.9039e-05
0.35,0.55,0.821564,-0.0563672,0.0563672,4.23212e-05
0.35,0.6,0.81851,-0.0618945,0.0618945,2.93877e-05
0.35,0.65,0.802352,-0.0680579,0.0680579,3.71105e-05
0.35,0.7,0.793362,-0.0729102,0.0729102,3.69381e-05
0.35,0.75,0.779788,-0.0777539,0.0777539,2.88876e-05
0.35,0.8,0.765418,-0.0835498,0.0835498,3.24528e-05
0.35,0.85,0.749984,-0.0887048,0.0887048,2.78804e-05
0.35,0.9,0.730924,-0.0946631,0.0946631,3.39967e-05
0.35,0.95,0.716905,-0.0996912,0.0996912,3.11833e-05
0.4,-1,0.904575,0.0961035,0.0961035,5.88863e-05
0.4,-0.95,0.921291,0.0913965,0.0913965,5.52804e-05
0.4,-0.9,0.941452,0.0860413,0.0860413,5.73809e-05
0.4,-0.85,0.960492,0.0806946,0.0806946,5.34392e-05
0.4,-0.8,0.975161,0.076001,0.076001,4.93789e-05
0.4,-0.75,0.991895,0.0711877,0.0711877,6.81867e-05
0.4,-0.7,1.00781,0.0662183,0.0662183,4.78788e-05
0.4,-0.65,1.02024,0.0609509,0.0609509,4.78605e-05
0.4,-0.6,1.03329,0.056366,0.056366,5.43095e-05
0.4,-0.55,1.04633,0.050885,0.050885,6.24677e-05
0.4,-0.5,1.05624,0.046814,0.046814,5.7292e-05
0.4,-0.45,1.06464,0.0418921,0.0418921,3.62368e-05
0.4,-0.4,1.07416,0.0369226,0.0369226,5.0885e-05
0.4,-0.35,1.08165,0.0316125,0.0316125,5.39296e-05
0.4,-0.3,1.08823,0.0271692,0.0271692,4.09267e-05
0.4,-0.25,1.09021,0.0230615,0.0230615,5.02303e-05
0.4,-0.2,1.09899,0.0184839,0.0184839,3.70067e-05
